week,week_start,monthly_theme,primary_room,weekly_anchor,anchor_format,giveaway_or_journey,email_primary_cta,community_action,product_milestone,primary_learning_signal
15,2026-11-09,Notice the Good,Transformed,Gratitude that tells the truth about pain,Audio meditation,Notice the Good audio prompts,Listen and write one honest sentence,Prayer invitation with privacy choices,Dust reader guide introduction,Audio completion and honest replies
16,2026-11-16,Notice the Good,Ordinary,Remembering who carried you,Permissioned story,Notice the Good phone card,Thank one person,Community gratitude collection,Prepare holiday fulfillment,Completed gratitude actions
17,2026-11-23,Notice the Good,Courageous,Generosity as recognizable fruit,Service reflection,Notice the Good examen,Choose one quiet act of generosity,Local generosity invitation,Dust gift offer if ready,Reported action without publicity pressure
18,2026-11-30,Make Room for Jesus,Transformed,Waiting without wasting the wait,Scripture reflection,Make Room Advent guide,Begin Advent week one,Small-group Advent prompt,Advent launch and gift-readiness gate,Guide starts and group adoption
19,2026-12-07,Make Room for Jesus,Ordinary,Jesus among ordinary people,Story and audio,Make Room Advent guide,Practice presence at home,Household reflection prompt,Gift edition or bundle if ready,Audio and household use
20,2026-12-14,Make Room for Jesus,Transformed,Peace without perfect circumstances,Prayer and meditation,Make Room Advent guide,Practice peace in real circumstances,Community prayer prompt,Holiday support and shipping truth,Practice completion and trust
21,2026-12-21,Make Room for Jesus,Transformed,Receiving and carrying the light,Christmas reflection and prayer,Make Room Advent guide,Receive the Christmas prayer,Christmas prayer gathering,No new product pressure,Prayer participation and journey completion
22,2026-12-28,Make Room for Jesus,All,What Advent taught us,Year-end reflection,Make Room Advent guide,Choose what to carry into January,Share only with consent,Close holiday campaign and support,Return intent for January
23,2027-01-04,Begin Again Without Performing,Ordinary,Begin where you are,Founder reflection,A Gentle Rule of Life,Choose one realistic rhythm,Reply with the rhythm,Chronicle discovery recruitment,Worksheet starts
24,2027-01-11,Begin Again Without Performing,Transformed,A rule of life is support not scorekeeping,Teaching and examples,A Gentle Rule of Life,Draft a gentle rule,Optional practice-circle enrollment,Chronicle workflow interviews,Completed drafts and enrollment
25,2027-01-18,Begin Again Without Performing,Transformed,What to stop start and continue,Practice guide,A Gentle Rule of Life,Make one change this week,Practice-circle check-in,Chronicle use-case mapping,Reported implementation
26,2027-01-25,Begin Again Without Performing,Ordinary,Returning after interruption,Permissioned story,A Gentle Rule of Life,Return without restarting everything,Practice-circle closing reflection,Chronicle discovery synthesis,Return after missed practice
27,2027-02-01,Love That Tells the Truth,Courageous,Listening before fixing,Practice and prayer,Hard Conversation Prayer and Plan,Practice listening once,Conversation partner prompt,Chronicle private-story prototype,Reported listening actions
28,2027-02-08,Love That Tells the Truth,Courageous,The courage to tell the truth gently,Teaching and worksheet,Hard Conversation Prayer and Plan,Prepare one honest sentence,Request private prayer,Chronicle prototype interviews,Worksheet completion
29,2027-02-15,Love That Tells the Truth,Ordinary,Repair after harm,Qualified guest conversation,Hard Conversation Prayer and Plan,Choose an appropriate repair step,Moderated live conversation,Workshop or guide test,Safe next-step selection
30,2027-02-22,Love That Tells the Truth,Courageous,Loving without controlling outcomes,Reflection and prayer,Hard Conversation Prayer and Plan,Release the outcome and keep the commitment,Private reflection option,Chronicle alpha gate review,Trust and care-load review
31,2027-03-01,The Courage to Follow,Courageous,Laying down the need to be seen,Scripture reflection,The Courage to Follow Holy Week journey,Begin the surrender practice,Group Lent prompt,Chronicle closed alpha begins,Practice starts
32,2027-03-08,The Courage to Follow,Courageous,Faithfulness under pressure,Historical or participant story,The Courage to Follow Holy Week journey,Name the pressure clearly,Prayer-team invitation,Dust Lent pathway if appropriate,Story resonance and prayer consent
33,2027-03-15,The Courage to Follow,Transformed,Staying present in suffering,Audio meditation,The Courage to Follow Holy Week journey,Use the presence practice,Encourage local pastoral support,Chronicle alpha feedback,Completion and safety referrals
34,2027-03-22,The Courage to Follow,Courageous,The cross and costly love,Holy Week guided journey,The Courage to Follow Holy Week journey,Walk the seven-day journey,Good Friday reflection,Dust cohort or reading path,Journey completion
35,2027-03-29,The Courage to Follow,All,Resurrection and a new kind of courage,Story and reflection,No new giveaway,Choose one resurrection-shaped action,Easter story invitation,Chronicle alpha review,Actions named after journey
36,2027-04-05,A Recognizable Life,All,Courage people can see,Permissioned story,Thirty Days of Noticing Jesus,Begin noticing for thirty days,Submit a private story prompt,Book 2 audience-language review,Journal starts
37,2027-04-12,A Recognizable Life,Courageous,Repair and integrity,Case story and practice,Thirty Days of Noticing Jesus,Take one integrity step,Reflection without public proof,Chronicle onboarding refinement,Reported integrity actions
38,2027-04-19,A Recognizable Life,Ordinary,Generosity without recognition,Story and service prompt,Thirty Days of Noticing Jesus,Serve without posting it,Quiet generosity invitation,Test book 2 territory one,Service action reports
39,2027-04-26,A Recognizable Life,Transformed,Faithfulness that points beyond the person,Community story collection,Thirty Days of Noticing Jesus,Complete and review the journal,Consent-first story month,Test book 2 territory two,Permissioned specific fruit stories
40,2027-05-03,Walk Together,All,Formation is not a solo project,Teaching and invitation,Start a Table host kit,Invite one person to the table,Host interest form,Chronicle bounded beta recruitment,Host interest and beta fit
41,2027-05-10,Walk Together,Ordinary,Becoming known without performing,Permissioned group story,Start a Table host kit,Use conversation one,Host orientation,Chronicle beta begins,Groups meeting once
42,2027-05-17,Walk Together,Courageous,Encouragement and challenge,Conversation guide,Start a Table host kit,Practice truthful encouragement,Group conversation two,Expanded facilitator kit test,Second-meeting return
43,2027-05-24,Walk Together,All,From participant to companion,Founder and participant conversation,Start a Table host kit,Choose whom you can strengthen,Group conversation three,Chronicle beta feedback review,Companion actions
44,2027-05-31,Walk Together,All,What groups taught us,Community learning note,No new giveaway,Finish the pilot and reflect,Group conversation four,Chronicle release gate precheck,Group continuation without founder
45,2027-06-07,Serve What Matters,Courageous,Notice the person already near you,Practice and service story,Serve Where You Are map,Complete the discernment map,Choose a local partner,Chronicle early-access readiness gate,Maps completed and partner fit
46,2027-06-14,Serve What Matters,Courageous,Serve with not merely for,Qualified partner conversation,Serve Where You Are map,Listen before designing help,Partner preparation,Chronicle demonstrations and privacy content,Partner feedback
47,2027-06-21,Serve What Matters,Courageous,Quiet courage at work and in neighborhoods,Participant story,Serve Where You Are map,Take one local action,Decentralized service week,Group or partner toolkit,Actions completed without brand theater
48,2027-06-28,Serve What Matters,Transformed,Reflect learn and serve again,Community reflection,Serve Where You Are map,Complete the team reflection,Thank partners privately,Chronicle support and onboarding review,Repeated-service intent
49,2027-07-05,Remember Recognize and Be Sent,Ordinary,Remember where you began,Guided reflection,My Year With Jesus booklet,Map your starting point,Optional private archive,Chronicle public-release window if ready,Booklet starts
50,2027-07-12,Remember Recognize and Be Sent,Transformed,Name what was formed,Story-map practice,My Year With Jesus booklet,Name one formation change,Consent-first story invitation,Book 2 concept gate,Specific formation evidence
51,2027-07-19,Remember Recognize and Be Sent,All,Honor the people who walked with you,Gratitude story,My Year With Jesus booklet,Thank a companion,Year-end gathering,Year One bundle only if valuable,Companion recognition and gathering participation
52,2027-07-26,Remember Recognize and Be Sent,Courageous,Choose the next courageous season,Founder declaration and community report,My Year With Jesus booklet,Choose the next faithful season,Publish transparent learning report,Year Two roadmap and product decisions,Next-step commitments and trust health
